X,Y,Z,dX,dY,dZ,Tangent
0.686109,0.686109,0,0.372753,0.372753,0,0.527153
0.689811,0.689811,0,0.367638,0.367638,0,0.519919
0.693462,0.693462,0,0.362463,0.362463,0,0.5126
0.69706,0.69706,0,0.357229,0.357229,0,0.505199
0.700606,0.700606,0,0.351936,0.351936,0,0.497713
0.704099,0.704099,0,0.346584,0.346584,0,0.490144
0.707538,0.707538,0,0.341172,0.341172,0,0.48249
0.710922,0.710922,0,0.335702,0.335702,0,0.474754
0.714252,0.714252,0,0.330172,0.330172,0,0.466933
0.717525,0.717525,0,0.324582,0.324582,0,0.459029
0.720743,0.720743,0,0.318934,0.318934,0,0.451041
0.723904,0.723904,0,0.313226,0.313226,0,0.442969
0.727007,0.727007,0,0.307459,0.307459,0,0.434813
0.730053,0.730053,0,0.301633,0.301633,0,0.426574
0.73304,0.73304,0,0.295748,0.295748,0,0.418251
0.73304,0.73304,0,0.295748,0.295748,0,0.418251
0.735968,0.735968,0,0.289892,0.289892,0,0.409969
0.738838,0.738838,0,0.284155,0.284155,0,0.401855
0.741651,0.741651,0,0.278536,0.278536,0,0.393909
0.744409,0.744409,0,0.273035,0.273035,0,0.38613
0.747113,0.747113,0,0.267653,0.267653,0,0.378518
0.749763,0.749763,0,0.262389,0.262389,0,0.371074
0.752361,0.752361,0,0.257243,0.257243,0,0.363797
0.754908,0.754908,0,0.252216,0.252216,0,0.356688
0.757405,0.757405,0,0.247308,0.247308,0,0.349746
0.759854,0.759854,0,0.242517,0.242517,0,0.342971
0.762256,0.762256,0,0.237845,0.237845,0,0.336364
0.764612,0.764612,0,0.233292,0.233292,0,0.329924
0.766922,0.766922,0,0.228856,0.228856,0,0.323652
0.769189,0.769189,0,0.22454,0.22454,0,0.317547
0.771414,0.771414,0,0.220341,0.220341,0,0.311609
0.773596,0.773596,0,0.216261,0.216261,0,0.305839
0.775739,0.775739,0,0.212299,0.212299,0,0.300237
0.777843,0.777843,0,0.208456,0.208456,0,0.294801
0.779909,0.779909,0,0.204731,0.204731,0,0.289534
0.781938,0.781938,0,0.201125,0.201125,0,0.284433
0.783932,0.783932,0,0.197636,0.197636,0,0.2795
0.785891,0.785891,0,0.194267,0.194267,0,0.274734
0.787817,0.787817,0,0.191015,0.191015,0,0.270136
0.789712,0.789712,0,0.187882,0.187882,0,0.265705
